directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica1/src/3/0/half_swarm,half_swarm,7558,2,15,781,2522
/scratch/alipour/replica1/src/3/1/no_swarm,no_swarm,8072,133,71,776,2522
/scratch/alipour/replica1/src/3/1/half_swarm,half_swarm,8072,33,71,798,2522
/scratch/alipour/replica1/src/3/2/half_swarm,half_swarm,15925,2,3,737,2522
/scratch/alipour/replica1/src/3/3/half_swarm,half_swarm,8109,8,18,814,2522
/scratch/alipour/replica1/src/3/4/no_swarm,no_swarm,13440,21,4,713,2522
/scratch/alipour/replica1/src/3/4/half_swarm,half_swarm,13440,2,4,819,2522
/scratch/alipour/replica1/src/3/5/no_swarm,no_swarm,18836,228,12,822,2522
/scratch/alipour/replica1/src/3/5/half_swarm,half_swarm,18836,10,12,810,2522
/scratch/alipour/replica1/src/3/6/no_swarm,no_swarm,30914,32,4,479,2522
/scratch/alipour/replica1/src/3/6/half_swarm,half_swarm,30914,3,4,800,2522
/scratch/alipour/replica1/src/3/7/no_swarm,no_swarm,7261,32,60,796,2522
/scratch/alipour/replica1/src/3/7/half_swarm,half_swarm,7261,21,60,790,2522
/scratch/alipour/replica1/src/3/8/no_swarm,no_swarm,12661,823,32,823,2522
/scratch/alipour/replica1/src/3/8/half_swarm,half_swarm,12661,33,32,791,2522
/scratch/alipour/replica1/src/3/9/no_swarm,no_swarm,18073,94,41,793,2522
/scratch/alipour/replica1/src/3/9/half_swarm,half_swarm,18073,29,41,810,2522
/scratch/alipour/replica1/src/3/10/half_swarm,half_swarm,7689,3,15,806,2522
/scratch/alipour/replica1/src/3/11/no_swarm,no_swarm,7704,78,46,807,2522
/scratch/alipour/replica1/src/3/11/half_swarm,half_swarm,7704,16,46,786,2522
/scratch/alipour/replica1/src/3/12/no_swarm,no_swarm,18078,117,12,543,2522
/scratch/alipour/replica1/src/3/12/half_swarm,half_swarm,18078,3,12,822,2522
/scratch/alipour/replica1/src/3/13/no_swarm,no_swarm,15060,38,19,631,2522
/scratch/alipour/replica1/src/3/13/half_swarm,half_swarm,15060,8,19,803,2522
/scratch/alipour/replica1/src/3/14/no_swarm,no_swarm,7438,9,27,638,2522
/scratch/alipour/replica1/src/3/14/half_swarm,half_swarm,7438,13,27,811,2522
/scratch/alipour/replica1/src/3/15/no_swarm,no_swarm,15876,132,46,690,2522
/scratch/alipour/replica1/src/3/15/half_swarm,half_swarm,15876,20,46,812,2522
