directory,target,hitrate,randomhitrate,swarmrate,mode
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.1.1/halfswarm,92528,0.170731707317,0.285714285714,0.143939393939,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.1.1/nosup,92528,0.333333333333,0.285714285714,0.143939393939,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.1.1/noswarm,92528,0.272727272727,0.285714285714,0.143939393939,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.2.1/halfswarm,15895,0.435897435897,0.342857142857,0.131818181818,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.2.1/nosup,15895,0.32,0.342857142857,0.131818181818,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.2.1/noswarm,15895,0.466666666667,0.342857142857,0.131818181818,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.3.1/halfswarm,137104,0.285714285714,0.0571428571429,0.124242424242,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.3.1/nosup,137104,0.277777777778,0.0571428571429,0.124242424242,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.3.1/noswarm,137104,0.32,0.0571428571429,0.124242424242,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.4.1/halfswarm,66981,0.340909090909,0.314285714286,0.113636363636,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.4.1/nosup,66981,0.5,0.314285714286,0.113636363636,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/7/roundroubin.4.1/noswarm,66981,0.434782608696,0.314285714286,0.113636363636,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.0.1/halfswarm,80958,0.677777777778,0.8,0.251788268956,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.0.1/nosup,80958,0.90625,0.8,0.251788268956,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.0.1/noswarm,80958,0.705263157895,0.8,0.251788268956,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.1.1/halfswarm,250519,0.642857142857,0.8,0.168812589413,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.1.1/nosup,250519,0.806451612903,0.8,0.168812589413,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.1.1/noswarm,250519,0.729166666667,0.8,0.168812589413,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.2.1/halfswarm,249702,0.346153846154,0.0571428571429,0.10443490701,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.2.1/nosup,249702,0.380952380952,0.0571428571429,0.10443490701,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.2.1/noswarm,249702,0.460317460317,0.0571428571429,0.10443490701,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.3.1/halfswarm,129803,0.584905660377,0.6,0.147353361946,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.3.1/nosup,129803,0.56862745098,0.6,0.147353361946,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.3.1/noswarm,129803,0.440677966102,0.6,0.147353361946,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.4.1/halfswarm,181204,0.90625,0.514285714286,0.143061516452,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/9/roundroubin.4.1/nosup,181204,0.6,0.514285714286,0.143061516452,No-Suppressors
